Date,Open,High,Low,Close,Adj Close,Volume
2018-01-04,2.740000,2.740000,2.660000,2.660000,2.524848,47500
2018-01-05,2.650000,2.650000,2.610000,2.610000,2.477388,900
2018-01-08,2.690000,2.730000,2.690000,2.730000,2.591291,1300
2018-01-09,2.770000,2.770000,2.770000,2.770000,2.629258,4700
2018-01-10,2.770000,2.770000,2.770000,2.770000,2.629258,0
2018-01-11,2.770000,2.770000,2.770000,2.770000,2.629258,0
2018-01-12,2.600000,2.660000,2.570000,2.570000,2.439420,45800
2018-01-16,2.700000,2.780000,2.670000,2.670000,2.534340,14200
2018-01-17,2.750000,2.750000,2.700000,2.700000,2.562815,22600
2018-01-18,2.700000,2.700000,2.700000,2.700000,2.562815,0
2018-01-19,2.680000,2.820000,2.680000,2.680000,2.543832,27700
2018-01-22,2.790000,2.900000,2.790000,2.820000,2.676718,15500
2018-01-23,2.920000,2.920000,2.850000,2.850000,2.705194,80500
2018-01-24,2.980000,2.980000,2.980000,2.980000,2.828588,16000
2018-01-25,2.960000,3.000000,2.950000,3.000000,2.847572,18700
2018-01-26,2.980000,2.980000,2.970000,2.970000,2.819097,211200
2018-01-29,2.820000,2.920000,2.820000,2.920000,2.771637,15700
2018-01-30,2.740000,2.890000,2.740000,2.740000,2.600783,22900
2018-01-31,2.900000,2.900000,2.760000,2.760000,2.619767,3500
2018-02-01,2.760000,2.760000,2.760000,2.760000,2.619767,700
2018-02-02,2.810000,2.810000,2.660000,2.660000,2.524848,6800
2018-02-05,2.630000,2.630000,2.620000,2.620000,2.486880,4800
2018-02-06,2.620000,2.620000,2.620000,2.620000,2.486880,0
2018-02-07,2.530000,2.530000,2.530000,2.530000,2.401453,3800
2018-02-08,2.530000,2.530000,2.530000,2.530000,2.401453,0
2018-02-09,2.680000,2.680000,2.680000,2.680000,2.543832,16800
2018-02-12,2.680000,2.680000,2.680000,2.680000,2.543832,0
2018-02-13,2.590000,2.700000,2.590000,2.700000,2.562815,300
2018-02-14,2.700000,2.700000,2.660000,2.680000,2.543832,42000
2018-02-15,2.790000,2.790000,2.700000,2.700000,2.562815,30000
2018-02-16,2.700000,2.700000,2.700000,2.700000,2.562815,18400
2018-02-20,2.800000,2.800000,2.800000,2.800000,2.657734,16000
2018-02-21,2.830000,2.830000,2.830000,2.830000,2.686210,6000
2018-02-22,2.900000,2.900000,2.900000,2.900000,2.752653,6600
2018-02-23,2.840000,2.920000,2.840000,2.900000,2.752653,113400
2018-02-26,2.920000,2.920000,2.830000,2.830000,2.686210,2300
2018-02-27,2.900000,2.940000,2.900000,2.940000,2.790621,164400
2018-02-28,2.870000,2.980000,2.870000,2.950000,2.800113,180200
2018-03-01,2.850000,2.940000,2.820000,2.820000,2.694989,9500
2018-03-02,2.820000,2.820000,2.820000,2.820000,2.694989,0
2018-03-05,2.840000,2.890000,2.840000,2.890000,2.761886,2900
2018-03-06,2.890000,2.890000,2.890000,2.890000,2.761886,0
2018-03-07,2.940000,2.940000,2.940000,2.940000,2.809670,26400
2018-03-08,2.910000,2.910000,2.820000,2.820000,2.694989,28900
2018-03-09,2.850000,2.850000,2.840000,2.840000,2.714103,10500
2018-03-12,2.850000,2.870000,2.850000,2.870000,2.742773,397300
2018-03-13,2.940000,2.940000,2.930000,2.930000,2.800113,12500
2018-03-14,2.890000,2.890000,2.830000,2.830000,2.704546,14500
2018-03-15,2.830000,2.830000,2.830000,2.830000,2.704546,0
2018-03-16,2.900000,2.920000,2.850000,2.860000,2.733216,6000
2018-03-19,3.020000,3.100000,3.000000,3.100000,2.962577,278300
